Account Name,CAPdb Rating,# of Cars Sold Per Month*,Vehicles in Inventory*,# of Salespeople employed*,Single or Multi Point Store*,Current DMS being Utilized*,Current DMS being Utilized (If Other)
". Baker Moto-Sports,",,,,,,,
'Merican Pride Auto Sales,no rating,,,,,,
"""A"" Plus Auto Sales",C,16-30,75,0-5,Multi Point,Frazer,
(502657 ALBERTA LTD),no rating,,233,,,,
(9115-8279) QUEBEC INC,no rating,,,,,,
*Autocom Nissan of Walnut Creek,B,,1286,16-20,Multi Point,,
#1 Auto Sales,A,,,,,FEX (FinanceExpress),
# 1 Auto Sales,D,15-Jan,10,0-5,Single,None,
#1 Big Daddy's Car Company,A,15-Jan,10,,Single,AutoStar,
#1 Brookville Chevrolet-Buick,A,,122,,,,
#1 Cochran Buick GMC of Monroeville,,,,,,,
#1 Cochran Buick GMC of Robinson,,,,,,,
#1 Cochran Cadillac of Monroeville,,,,,,,
#1 Cochran Chrysler Dodge Jeep Ram,A,,420,,Multi,Reynolds,
#1 Cochran Ford Allegheny Valley,A,,265,,Multi,Reynolds,
#1 Cochran Hyundai Monroeville,no rating,,275,,,,
#1 Cochran Hyundai of South Hills,A,175-300,251,11/15/2015 0:00,Multi,ADP,
#1 Cochran Kia of Robinson,A,,230,,,,
#1 Cochran Mazda of Monroeville,no rating,,960,,Multi,,
#1 Cochran Mazda of North Hills,no rating,,224,,,,
#1 Cochran Nissan of South Hills,B,,331,,,,
#1 Cochran Subaru Monroeville,,,,,,,
#1 Cochran Subaru of Butler,no rating,,52,,,,
#1 Cochran Volkswagen of North Hills,no rating,,117,,,,
#1 Cochran Volkswagen of South Hills,B,0-100,98,,Multi,Reynolds,
#1 Cycle Center Harley-Davidson,,,,,,,
#1 Dan's Auto Recycling,,,,,,,
#1 Performance Center,D,15-Jan,10,0-5,Single,None,
#9 Auto Sales,C,16-30,10,0-5,Single,None,
0840839 BC LTD DBA BURRARD ACURA AUTO PLAZA,no rating,,,,,ADP,
0880984 BC LTD,C,0-100,16,0-5,,ADP,
0889541 Bc Ltd,no rating,0-100,74,0-5,,ADP,
0917068 Bc Ltd,no rating,,,,,PBS,
0966200 BC LTD,B,0-100,178,10-Jun,,ADP,
0973702 Bc Ltd,C,0-100,63,0-5,,ADP,
0980111 Bc Ltd,B,0-100,174,10-Jun,,ADP,
0991292 BC Ltd,no rating,,,,,PBS,
1000 Autos Enr,no rating,,,,,,
1000 Island Auto Ctr,no rating,,,,,,
1000 Islands Car Mart,no rating,,,,,,
1000 Islands RV Centre,no rating,,,,,,
1000 Islands Toyota,no rating,,,,,,
101 Auto Mall Inc,C,16-30,10,0-5,Single,,NowCom
101 Auto Sales LLC,,,,,,,
101 Auto Sales - Oceanside,no rating,,,,,,
101 Budget Auto Sales,A,,32,,,Reynolds,
101 Motors,C,16-30,10,0-5,Single,AutoManager (DeskManager),
101 Motorsports,D,15-Jan,30,0-5,Single,Other,
103 West Auto Sales,D,15-Jan,5,0-5,Single,None,
1040 Taxes & Used Car Sales,no rating,,,,,,
107 Auto,,,,,,,
1081 Auto Mart LLC,D,15-Jan,10,0-5,Single,None,
109 Auto Sales,,,,,,,
109 Auto Sales,C,16-30,45,0-5,,Wayne Reaves,
109 Auto Sales & Svc,no rating,,,,,,
10 Cent Title Pawn,,,,,,,
"111 Used Car Sales, Inc.",A,,,,,FEX (FinanceExpress),
112 Auto Sales,no rating,,,,,FEX (FinanceExpress),
112 Mitsubishi,A,0-100,270,11/15/2015 0:00,Single,Reynolds,
112 Superstore,C,16-30,30,0-5,Single,Other,
1137283 Ontario Ltd,no rating,,,,,,
1155760 Ontario Limited,no rating,,157,,,,
119 Quality Auto Sales Inc,D,15-Jan,30,0-5,Single,DealerClick,
11th Street Auto Sales,A,,351,,,,
11th Street Motors,no rating,15-Jan,50,,,,
"123 Auto.us, LLC",D,15-Jan,4,0-5,Single,None,
123 Auto Sales LLC,,,,,,,
123 Car Buying,no rating,,,,,,
123 Tx Auto Llc,B,31-49,100,0-5,Single,Other,Own
1257707 ONTARIO LIMITED O/A OAKVILLE HONDA,no rating,,235,,,,
1270831 Ontario Inc,no rating,,,,,,
1273613 Ontario Inc,no rating,,,,,,
128 Volvo Wakefield,A,0-100,241,6/10/2015 0:00,Single,Reynolds,
129 Motor Sales & Repair,D,15-Jan,,0-5,Single,Frazer,
12th Avenue Used Cars,no rating,,,,,,
12th Street Auto Sales,D,15-Jan,30,0-5,Single,DealerCenter (Westlake),
1305 One Stop Auto Sales,D,15-Jan,20,0-5,Single,Frazer,
1369713 Alberta Ltd,no rating,,164,,,,
1380878 Ontario Inc.,no rating,,120,,,,
1394680 ONT INC,no rating,,,,,,
1409071 Ontario Ltd,no rating,,115,,,Reynolds,
141951 Canada Inc,no rating,,,,,,
141 Auto Sales,D,15-Jan,10,0-5,Single,None,
150 Auto Sales,C,16-30,40,0-5,Single,None,
150 Motors LLC,D,15-Jan,20,0-5,Single,None,
151 Auto Emporium Inc,D,15-Jan,25,0-5,Single,None,
1525250 Ontario Inc,no rating,,,,,,
1554299 Alberta Ltd,no rating,,,,,,
1562651 Ontario Ltd.,no rating,,184,,,,
1579341 Ontario Ltd,no rating,,,,,,
1590 Auto Sales,D,15-Jan,25,0-5,Single,None,
160 Auto Sales,,,,,,,
160 Auto Sales Rogersville,,,,,,,
1638 Auto Sales,no rating,,,,,,
1672480 Alberta Ltd,no rating,,,,,,
168 Auto Sales,D,15-Jan,25,0-5,Single,Frazer,
"169 Auto Parts, Inc.",D,15-Jan,8,0-5,Single,None,
1732974 Ontario Ltd,no rating,0-100,50,0-5,Multi Point,Reynolds(ERA),
1754672 Alberta Ltd,no rating,,,,,Reynolds(ERA),
1754675 Alberta Ltd,no rating,,,,,,
1782998 Ontario Inc,no rating,,,,,,
17 South Auto Sales,D,15-Jan,30,0-5,Single,None,
1800AutoBroker,,,,,,,
1 800 Car Show,,,,,,,
1 800 Preowned,A,31-49,100,10-Jun,Single,DealerTrack,
1809231 Ontario Limited,no rating,,,,,,
183 Auto Sales,C,16-30,20,0-5,Single,None,
1850178 Ontario Limited,no rating,,,,,,
185332 CANADA INC,C,0-100,86,0-5,Multi Point,ADP,
185 Autos,,,,,,,
185 Auto Sales,D,15-Jan,10,0-5,Single,None,
190 Autoplex,,,,,,,
190 Autoplex,,,,,,,
1958040 Ontario Inc.,,,,,,,
1984613 Alberta Ltd,no rating,,,,,,
1995 Auto Sales Inc.,D,15-Jan,15,0-5,Single,Other,
19th Street Auto Auction,D,15-Jan,15,0-5,Single,Other,Use own software.
1A Auto Way Inc.,D,15-Jan,30,0-5,Single,None,
1 And 2 Automotive,A,,,,,FEX( FinanceExpress),
1 Classe Automobile,no rating,,,,,,
1Eleven Auto Sales,,,,,,,
1 mile Autos Sales,D,15-Jan,30,0-5,Single,Wayne Reaves,
1 Owner Auto Sales,B,31-49,30,0-5,Multi Point,Wayne Reaves,
1 Owner Auto Sales - Carrollton,B,31-49,50,0-5,Multi Point,Wayne Reaves,
"1Solution Auto Network, LLC",B,,100,,,FEX (FinanceExpress),
1Source,,,,,,FEX (FinanceExpress),
1St Arkansas Car Brokers,D,15-Jan,20,0-5,Multi Point,Frazer,
1St Arkansas Car Brokers - Alexander,D,15-Jan,15,0-5,Single,Frazer,
1 Star Motors,C,16-30,50,0-5,Single,AutoMate,
1st Auto and Marine,B,31-49,100,0-5,Single,Frazer,
1st Auto Credit,D,15-Jan,10,0-5,Single,,
1st Auto Leasing Broker,D,15-Jan,,0-5,Single,None,
1st Automotive,,,,,,,
1st Autos Direct Inc.,D,15-Jan,25,0-5,Single,Frazer,
1st Avenue Auto Sales,B,31-49,31,0-5,Single,Other,DealerPlate
1st Canadian Auto Group,no rating,,,,,,
1st Capital Harley-Davidson,,,,,,,
1st Car Pro,A,,,,,FEX( FinanceExpress),
1st Choice Auto Brokers,no rating,,,,,,
1st Choice Auto Centers,A,50+,300,15-Nov,Multi Point,VinSolutions,
1St Choice Auto Credit,D,15-Jan,20,0-5,Single,Frazer,
1st Choice Auto Group,D,15-Jan,30,0-5,Single,DealerCenter (Westlake),
1st Choice Auto LLC,D,15-Jan,20,0-5,Single,Frazer,
1st Choice Auto Mall LLC,C,16-30,30,0-5,,DealerCenter (Westlake),
1st Choice Automotive Corp.,B,31-49,100,0-5,Single,Frazer,
1St Choice Auto Repair,no rating,,,,,,
1St Choice Auto Sales,no rating,,,,,,
1st Choice Auto Sales,B,31-49,93,,,,
1st Choice Auto Sales - Garden City,C,16-30,40,0-5,Single,Frazer,
1st Choice Auto Sales - Green Bay,D,15-Jan,18,0-5,Single,None,
1st Choice Auto Sales Inc.,C,16-30,39,0-5,Single,Frazer,
1St Choice Auto Sales Llc,D,15-Jan,,0-5,Single,Frazer,
1St Choice Auto Sales - Springfield,B,31-49,30,0-5,,Frazer,
1st Choice Collision & Refinsh,no rating,,,,,,
1ST CHOICE MOTORS & DETAIL SHOP,C,16-30,52,0-5,Single,,
1St Choice Motors - Abilene,C,16-30,50,0-5,Multi Point,Frazer,
1St Choice Motors - Eureka Springs,D,15-Jan,15,0-5,Single,None,
1st Choice Motors in Yankton SD,,,,,,,
1St Choice Motors - Madison Heights,A,50+,367,,,,
1st City Auto Sales,D,15-Jan,20,0-5,Single,Wayne Reaves,
1st Class Auto Inc.,C,16-30,50,0-5,Single,Wayne Reaves,
1St Class Cars Llc,D,15-Jan,30,0-5,Single,,
1St Class Used Cars,A,50+,100,0-5,Single,None,
1st Commercial Sales And Leasi,no rating,,,,,,
1st Nations Auto Sales,no rating,,50,,,FEX (FinanceExpress),
1 Stop Auto,B,31-49,80,0-5,Single,,
1 Stop Auto Dealer,,,,,,,
1 Stop Auto Detail & Sales,no rating,,,,Single,,
1 Stop Auto Mart,,,,,,,
1 Stop Auto Sales - Memphis,D,15-Jan,10,0-5,Single,None,
1 Stop Motor Sports,C,16-30,30,0-5,Single,Frazer,DealerTrack
1st Place Auto Sales,,,,,,,
"1st Place Auto Sales, Inc.",,,,,,,
1st Priority Auto Sales,D,15-Jan,20,0-5,Single,Wayne Reaves,
1st Quality Auto,A,16-30,70,0-5,Single,DealerTrack,
1st Reliable Auto Brokers LLC,C,16-30,20,0-5,Single,None,
1st Stop Auto Sales,,,,,,,
1st Stop Auto Sales,C,16-30,65,0-5,Single,AutoMate,
1st Stop Auto Sales - Haltom City,B,31-49,50,0-5,Single,Frazer,
1St Stop Auto Sales - Providence,B,31-49,50,0-5,Single,None,
1st Stop Motors Inc,,,,,,FEX (FinanceExpress),
1st Street Auto Mart,D,15-Jan,23,0-5,Single,None,
1st Time Auto Sales LLC,C,16-30,25,0-5,Single,Frazer,
20/20 Auto Sales,D,15-Jan,25,0-5,Single,Frazer,
2000 Auto,D,15-Jan,10,0-5,Single,Frazer,
"2000 Auto Sales, Inc",A,300+,1125,,Multi,ADP,
2002 Auto Sales,,,,,,,
2010 Auto Sales,no rating,,,,,,
2021257 Ontario Inc.,no rating,,,,,,
208 Auto Sales,,,,,,,
209 Motors,C,16-30,45,0-5,Multi Point,AutoSoft,
20th Century Chrysler Jeep Dodge,no rating,175-300,117,15-Nov,Multi,ADP,
210 Auto Center,D,15-Jan,15,0-5,Single,Frazer,
210 River Street Auto Sales,no rating,,,,,,
