country,city,stdState,street,Harley Dealer Id,state,Offerings,Matching result,identifier,website,stdStreet,basicDealerId,phone,name,postal,stdPhone
USA,Lapeer,MI,1491 S Lapeer Rd,"1491 S Lapeer Rd
Lapeer, MI, USA 48446-9441
810-664-4505 | Website",MI,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000aEoF2AAK,2286,http://www.raycsh-d.com/,1491 south lapeer road,619,810-664-4505,Ray C's Harley-Davidson of Lapeer,48446-9441,8106644505
USA,Honolulu,HI,600 Puuloa Rd,"600 Puuloa Rd
Honolulu, HI, USA 96819-2003
808-831-2600 | Website",HI,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000aTUWlAAO,833,http://www.cyclecityltd.com/,600 puuloa road,439,808-831-2600,Cycle City Harley-Davidson,96819-2003,8088312600
USA,Saint Louis,MO,3600 Lemay Ferry Rd,"3600 Lemay Ferry Rd
Saint Louis, MO, USA 63125-4503
(314) 845-9900 | Website",MO,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D Authorized Service
Test Ride
",Address Match : 001j000000cIqggAAC,4117,http://www.gatewayhd.com/,3600 lemay ferry road,511,(314) 845-9900,Gateway Harley-Davidson,63125-4503,3148459900
USA,New Rochelle,NY,8 Industrial Ln,"8 Industrial Ln
New Rochelle, NY, USA 10805-1204
(914) 632-6743 | Website",NY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
",Address Match : 001j000000cIqoCAAS,3183,http://www.empireharley.com/,8 industrial ln,766,(914) 632-6743,Empire Harley-Davidson,10805-1204,9146326743
USA,Cuyahoga Falls,OH,1120 Main St,"1120 Main St
Cuyahoga Falls, OH, USA 44221-4922
(330) 535-9900 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000ckwJlAAI,3181,http://www.rubbercityharley.com/,1120 main street,801,(330) 535-9900,Rubber City Harley-Davidson,44221-4922,3305359900
USA,Gladstone,OR,870 E Berkeley St,"870 E Berkeley St
Gladstone, OR, USA 97027-2551
503-249-8653 | Website",OR,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000gTMZGAA4,4105,http://www.latus-hd.com/,870 east berkeley street,832,503-249-8653,Latus Motors Harley-Davidson,97027-2551,5032498653
USA,Fairfax,VA,9739 Fairfax Blvd,"9739 Fairfax Blvd
Fairfax, VA, USA 22031-5123
(703) 352-5400 | Website",VA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000gUjHJAA0,3698,http://www.patriothd.com/,9739 fairfax boulevard,315,(703) 352-5400,Patriot Harley-Davidson,22031-5123,7033525400
USA,Lexington,KY,2073 Bryant Rd,"2073 Bryant Rd
Lexington, KY, USA 40509-9427
(859) 253-2461 | Website",KY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000j5jLQAAY,1873,http://www.manowarhd.com/,2073 bryant road,550,(859) 253-2461,Man O' War Harley-Davidson,40509-9427,8592532461
USA,Paducah,KY,3005 Old Husbands Rd,"3005 Old Husbands Rd
Paducah, KY, USA 42003-9542
(270) 443-5636 | Website",KY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000j5jQiAAI,1949,http://www.fourrivershd.com/,3005 old husbands road,518,(270) 443-5636,Four Rivers Harley-Davidson,42003-9542,2704435636
USA,London,KY,575 E Hal Rogers Pkwy,"575 E Hal Rogers Pkwy
London, KY, USA 40741-2716
(606) 862-5656 | Website",KY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000j5jTZAAY,2273,http://www.wildcatharley.com/,575 east hal rogers parkway,551,(606) 862-5656,Wildcat Harley-Davidson,40741-2716,6068625656
USA,Conneaut Lake,PA,13723 Conneaut Lake Rd,"13723 Conneaut Lake Rd
Conneaut Lake, PA, USA 16316-6821
(814) 382-4821 | Website",PA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000Nmc54AAB,4239,http://www.streettrackntrailinc.com/,13723 conneaut lake road,853,(814) 382-4821,Street Track'n Trail Harley-Davidson,16316-6821,8143824821
USA,Homosassa,FL,1785 S Suncoast Blvd,"1785 S Suncoast Blvd
Homosassa, FL, USA 34448-6414
(352) 563-9900 | Website",FL,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",Address Match : 001j000000Nme5KAAR,3672,http://www.crystalharley.com/,1785 south suncoast boulevard,387,(352) 563-9900,Crystal Harley-Davidson,34448-6414,3525639900
USA,Salinas,CA,333 N Main St,"333 N Main St
Salinas, CA, USA 93901-2817
(831) 731-5066 | Website",CA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000NmQdeAAF,3278,http://www.montereyharleydavidson.com/,333 north main street,232,(831) 731-5066,"Monterey Harley-Davidson, Salinas",93901-2817,8317315066
USA,Lindon,UT,555 S Geneva Rd,"555 S Geneva Rd
Lindon, UT, USA 84042-1746
(801) 434-4647 | Website",UT,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000NmQMBAA3,2704,http://www.timpharley.com/,555 south geneva road,926,(801) 434-4647,Timpanogos Harley-Davidson,84042-1746,8014344647
USA,Villa Park,IL,120 W North Ave,"120 W North Ave
Villa Park, IL, USA 60181-1206
(630) 834-6571 | Website",IL,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000NmXGKAA3,1084,http://www.wildfirehd.com/,120 west north avenue,496,(630) 834-6571,Wild Fire Harley-Davidson,60181-1206,6308346571
CAN,Prince George,BC,2629 Vance Road,"2629 Vance Road
Prince George, BC, CAN V2N 1N5
(250) 564-6667 | Website",BC,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
",Address Match : 001j000000ojbJQAAY,10027,http://harleydavidsonpg.bc.ca/,2629 vance road,24,(250) 564-6667,Harley-Davidson of Prince George,V2N 1N5,2505646667
CAN,Grande Prairie,AB,12401 - 99th Street,"12401 - 99th Street
Grande Prairie, AB, CAN T8V 6Y5
(780) 882-8883",AB,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
",Address Match : 001j000000ojlqaAAA,20030,null,12401 99th street,25,(780) 882-8883,Mighty Peace Harley-Davidson,T8V 6Y5,7808828883
CAN,Red Deer County,AB,37 Petrolia Drive,"37 Petrolia Drive
Red Deer County, AB, CAN T4E 1B3
403-341-3040 | Website",AB,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
",Address Match : 001j000000ojm0DAAQ,21111,http://www.gasolinealleyharleydavidson.com/,37 petrolia drive,29,403-341-3040,Gasoline Alley Harley-Davidson,T4E 1B3,4033413040
CAN,Edmonton,AB,7420 Yellowhead Trail,"7420 Yellowhead Trail
Edmonton, AB, CAN T5B 1G3
(780) 451-7857 | Website",AB,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
",Address Match : 001j000000ojmwsAAA,20058,http://www.hdedmonton.com/,7420 yellowhead trail,27,(780) 451-7857,Harley-Davidson of Edmonton,T5B 1G3,7804517857
CAN,Yellowknife,NT,213 Utsingi Drive,"213 Utsingi Drive
Yellowknife, NT, CAN X1A 2P6
(867) 873-8322",NT,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
",Address Match : 001j000000ojoppAAA,20077,null,213 utsingi drive,23,(867) 873-8322,Trails End Harley-Davidson,X1A 2P6,8678738322
USA,Roswell,GA,11480 Alpharetta Hwy,"11480 Alpharetta Hwy
Roswell, GA, USA 30076-3801
770-777-1000 | Website",GA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000ok6cmAAA,746,http://www.killercreekharley.com/,11480 alpharetta highway,423,770-777-1000,Killer Creek Harley-Davidson,30076-3801,7707771000
USA,New Smyrna Beach,FL,1899 State Road 44,"1899 State Road 44
New Smyrna Beach, FL, USA 32168-8342
(386) 409-3034 | Website",FL,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
",Address Match : 001j000000Pbok4AAB,1923,http://www.nsbhd.com/,1899 state road 44,385,(386) 409-3034,Bruce Rossmeyer's New Smyrna Harley-Davidson,32168-8342,3864093034
USA,Kingston,NY,949 Rte 28,"949 Rte 28
Kingston, NY, USA 12401-7250
(845) 338-2800 | Website",NY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000pfnEPAAY,3243,http://www.woodstockharley.com/,949 route 28,774,(845) 338-2800,Woodstock Harley-Davidson,12401-7250,8453382800
USA,Orange,VA,385 Waugh Blvd,"385 Waugh Blvd
Orange, VA, USA 22960-1861
(540) 672-5550 | Website",VA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000Q6jAmAAJ,3882,http://www.waughhd.com/,385 waugh boulevard,329,(540) 672-5550,Stonewall Harley-Davidson,22960-1861,5406725550
USA,Virginia Beach,VA,385 N Witchduck Rd,"385 N Witchduck Rd
Virginia Beach, VA, USA 23462-1934
757-499-8964 | Website",VA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000Q6jDHAAZ,5344,http://www.southside-hd.com/,385 north witchduck road,943,757-499-8964,Southside Harley-Davidson,23462-1934,7574998964
USA,Lakewood,CO,8000 W Colfax Ave,"8000 W Colfax Ave
Lakewood, CO, USA 80214-6117
(303) 238-0425 | Website",CO,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000Q6ksmAAB,3188,http://www.avalancheharley.com/,8000 west colfax avenue,292,(303) 238-0425,Avalanche Harley-Davidson,80214-6117,3032380425
USA,Grand Junction,CO,2747 Crossroads Blvd,"2747 Crossroads Blvd
Grand Junction, CO, USA 81506-3954
970-245-0812 | Website",CO,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000Q6kxiAAB,415,http://www.gjharley.com/,2747 crossroads boulevard,304,970-245-0812,Grand Junction Harley-Davidson,81506-3954,9702450812
USA,Roswell,NM,2801 W 2nd St,"2801 W 2nd St
Roswell, NM, USA 88201-1277
(575) 624-0151 | Website",NM,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000Q6l6DAAR,3124,http://www.championroswell.com/,2801 west 2nd street,759,(575) 624-0151,Champion Harley-Davidson,88201-1277,5756240151
USA,Oklahoma City,OK,6904 W Reno Ave,"6904 W Reno Ave
Oklahoma City, OK, USA 73127-6536
(405) 631-8680 | Website",OK,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000Q6lP1AAJ,4029,http://www.harleydavidsonworld.com/,6904 west reno avenue,818,(405) 631-8680,Harley-Davidson World,73127-6536,4056318680
USA,Augusta,GA,4200 Belair Frontage Rd,"4200 Belair Frontage Rd
Augusta, GA, USA 30909-9411
(706) 651-0444 | Website",GA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D Authorized Service
Test Ride
",Address Match : 001j000000Q6sllAAB,3910,http://www.augustahd.com/,4200 belair frontage road,413,(706) 651-0444,Timms Harley-Davidson of Augusta,30909-9411,7066510444
USA,Pierre,SD,422 S Fort St,"422 S Fort St
Pierre, SD, USA 57501-4598
605-224-4242 | Website",SD,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000Q6tCuAAJ,4854,http://www.petersenmotorcycles.com/,422 south fort street,863,605-224-4242,Petersen Motors Harley-Davidson,57501-4598,6052244242
USA,Frederick,CO,3761 Monarch St,"3761 Monarch St
Frederick, CO, USA 80516-9455
(303) 833-6777 | Website",CO,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000Q6tdiAAB,422,http://www.highcountryharley.com/,3761 monarch street,297,(303) 833-6777,High Country Harley-Davidson/Buell,80516-9455,3038336777
USA,Albuquerque,NM,8603 Lomas Blvd NE,"8603 Lomas Blvd NE
Albuquerque, NM, USA 87112-5048
(505) 275-3853 | Website",NM,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D Authorized Service
H-DTM Riding Academy
Test Ride
",Address Match : 001j000000Q6tjyAAB,3423,http://www.dukecityhd.com/,8603 lomas boulevard ne,756,(505) 275-3853,Duke City Harley-Davidson,87112-5048,5052753853
CAN,Saskatoon,SK,102 - 23rd Street East,"102 - 23rd Street East
Saskatoon, SK, CAN S7N 4R5
(306) 934-2750",SK,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
",Address Match : 001j000000QqQ0bAAF,30014,null,102 23rd street east,42,(306) 934-2750,Redline Harley-Davidson,S7N 4R5,3069342750
USA,Scott City,MO,2100 E Outer Rd,"2100 E Outer Rd
Scott City, MO, USA 63780-7114
(573) 334-7716 | Website",MO,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",Address Match : 001j000000rRTxTAAW,3493,http://www.lawlesshd.com/,2100 east outer road,517,(573) 334-7716,Lawless Harley-Davidson of Scott City,63780-7114,5733347716
USA,New York,NY,378 Broadway,"378 Broadway
New York, NY, USA 10013-3518
(212) 233-4369 | Website",NY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D® Authorized Rentals
Test Ride
",Address Match : 001j000000rTIXbAAO,3364,http://www.nycharleydavidson.com/,378 broadway,748,(212) 233-4369,Harley-Davidson of New York City,10013-3518,2122334369
