foreignType,country,city,stdPostal,stdState,stdName,foreignIdentifierString,outdated,street,custom3,custom4,custom1,state,custom2,custom5,custom6,identifier,website,stdStreet,stdCity,basicDealerId,phone,stdCountry,name,postal,projectIdentifier,stdPhone
null,CAN,Smithers,V0J 2N0,BC,null,null,false,4320 Highway 16,null,No pod mapping,"4320 Highway 16
Smithers, BC, CAN V0J 2N0
(250) 847-3784 | Website",BC,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
",No pod mapping,Phone Match : 001j000000ojbHoAAI,null,http://www.hdsmithers.ca/,4320 highway 16,null,1,(250) 847-3784,Canada,Harley-Davidson of Smithers,V0J 2N0,Harley,2508473784
null,USA,Mendon,45862,OH,null,null,false,7172 State Rte 707,null,I11,"7172 State Rte 707
Mendon, OH, USA 45862-9504
419-795-4185 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F20,Not in salesforce,3815,http://www.jimsharley-davidson.com/,7172 state route 707,null,800,419-795-4185,United States,Jim's Harley-Davidson Sales,45862-9504,Harley,4197954185
null,USA,Cuyahoga Falls,44221,OH,null,null,false,1120 Main St,null,I11,"1120 Main St
Cuyahoga Falls, OH, USA 44221-4922
(330) 535-9900 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",F20,Address Match : 001j000000ckwJlAAI,3181,http://www.rubbercityharley.com/,1120 main street,null,801,(330) 535-9900,United States,Rubber City Harley-Davidson,44221-4922,Harley,3305359900
null,USA,Cleveland,44135,OH,null,null,false,4985 W 150th St,null,I11,"4985 W 150th St
Cleveland, OH, USA 44135-3303
(216) 252-3111 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
Test Ride
",F20,Address Match : 001j000000VuEvhAAF,3509,http://www.rocknrollcityharley.com/,4985 west 150th street,null,802,(216) 252-3111,United States,Rock-n-Roll City Harley-Davidson,44135-3303,Harley,2162523111
null,USA,Napoleon,43545,OH,null,null,false,862 American Rd,null,I11,"862 American Rd
Napoleon, OH, USA 43545-6392
(419) 592-7123 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",F20,Not in salesforce,3294,http://www.h-dsales.com/,862 american road,null,803,(419) 592-7123,United States,Napoleon Harley-Davidson,43545-6392,Harley,4195927123
null,USA,Toledo,43617,OH,null,null,false,7960 W Central Ave,null,I11,"7960 W Central Ave
Toledo, OH, USA 43617-1532
(419) 843-7892 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",F20,Not in salesforce,1524,http://www.toledohd.com/,7960 west central avenue,null,804,(419) 843-7892,United States,Toledo Harley-Davidson,43617-1532,Harley,4198437892
null,USA,Bedford Heights,44146,OH,null,null,false,23105 Aurora Rd,null,I11,"23105 Aurora Rd
Bedford Heights, OH, USA 44146-1703
440-439-5300 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F20,Not in salesforce,3696,http://www.southeastharley.com/,23105 aurora road,null,805,440-439-5300,United States,South East Harley-Davidson Sales Co.,44146-1703,Harley,4404395300
null,USA,Belmont,43718,OH,null,null,false,41255 Reco Rd,null,I11,"41255 Reco Rd
Belmont, OH, USA 43718-9542
(740) 782-1868 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
H-D Authorized Service
Test Ride
",F20,Not in salesforce,1070,http://www.valleyharleyshop.com/,41255 reco road,null,806,(740) 782-1868,United States,Valley Harley-Davidson Shop,43718-9542,Harley,7407821868
null,USA,Mason,45040,OH,null,null,false,2383 Kings Center Ct,null,I11,"2383 Kings Center Ct
Mason, OH, USA 45040-2384
(513) 204-6962 | Website",OH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
Express Lane™ Service
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F20,Not in salesforce,4035,http://www.powderkeghd.com/,2383 kings center court,null,807,(513) 204-6962,United States,Powder Keg Harley-Davidson,45040-2384,Harley,5132046962
null,USA,Williamstown,26187,WV,null,null,false,80 Thunder Rd,null,I17,"80 Thunder Rd
Williamstown, WV, USA 26187-8371
(304) 375-2530 | Website",WV,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F12,Not in salesforce,2190,http://www.sandpharleydavidson.com/,80 thunder road,null,808,(304) 375-2530,United States,S & P Harley-Davidson,26187-8371,Harley,3043752530
