zip,siteMismatch,country,franchise,standardStreet,significantDifference,city,salesforceId,stdState,stdStreet,stdCity,customerStatus,parentAccountName,parentAccountSalesforceId,outdated,phone,street,stdCountry,name,salesforceWebsite,state,stdPhone,salesforceAccountId,brandAffiliation
91106,false,United States,null,null,false,Pasadena,001j0000016yNvaAAE,null,null,null,Customer,,,false,(800) 604-0243,1336 E. Colorado Blvd,null,Bidlane,http://bidlane.com/,California,null,79850,
34986,false,United States,null,null,false,Pending Location,001j000000znLJHAA2,null,null,null,Prospect,,,false,(772) 341-7122,Location Pending,null,Olde Towne Stuart Auto,,Florida,null,79841,
46060,false,United States,null,null,false,Noblesville,001j0000015VoJIAA0,null,null,null,Prospect,Asbury Auto Group,001j000000aEdEm,false,(317) 773-1090,2001 Stony Creek Road,null,Hare Chevrolet,http://www.hareauto.com,Indiana,null,79851,Chevrolet
95205,false,United States,null,null,false,Stockton,001j0000011TCs1AAG,null,null,null,Prospect,,,false,(209) 451-0539,1301 East Miner Avenue,null,Victory Auto Sales - Stockton,http://www.victoryusedautos.com/,California,null,79840,
98409,false,United States,null,null,false,Tacoma,001j0000014ErZvAAK,null,null,null,Prospect,,,false,(253) 475-0329,5602 South Tacoma Way Suite B,null,Messmer Motors,http://www.messmermotors.com/,Washington,null,79843,
93701,false,United States,null,null,false,Fresno,001j0000012ytN3AAI,null,null,null,Prospect,,,false,(559) 443-9694,450 North Abby Street,null,Twin Auto Sale,http://twinautosale.com/,California,null,79832,
64601,false,United States,null,null,false,Chillicothe,001j0000015WThJAAW,null,null,null,Prospect,,,false,(816) 590-7475,1211 North Washington,null,Marshall Motor Co,,Missouri,null,79842,
"",false,,null,null,false,,001j0000015Ut4sAAC,null,null,null,,,,false,,,null,Atom Media Group,http://www.atommediagroup.com/,,null,79845,
95136,false,United States,null,null,false,San Jose,001j0000015U437AAC,null,null,null,Prospect,,,false,,775 Capitol Expressway Auto Mall,null,Auto Focus Group,,California,null,79834,Honda; Toyota; Volkswagen
76126,false,United States,null,null,false,Fort Worth,001j0000012z4eaAAA,null,null,null,Customer,,,false,(682) 207-2776,6741 Corporation PKWY,null,Patriot Motor Cars,,Texas,null,79844,
98686,false,United States,null,null,false,Vancouver,001j0000014Et3BAAS,null,null,null,Prospect,,,false,(360) 573-5733,10909 Northeast Highway 99,null,Pat Moore Quality Cars,http://www.patmoorequalitycars.com/used-car-dealer-vancouver-wa,Washington,null,79833,
30108,false,United States,null,null,false,Bowdon,001j000000zloHLAAY,null,null,null,Prospect,,,false,(770) 258-5934,826 East College Street,null,Knott & Associates,,Georgia,null,79847,
95821,false,United States,null,null,false,Sacramento,001j0000011T9DpAAK,null,null,null,Prospect,,,false,(916) 488-1100,3324 Fulton Avenue,null,Sacramento Truck Depot,http://www.sactruckdepot.com/home,California,null,79836,
97216,false,United States,null,null,false,Portland,001j000000zl3K8AAI,null,null,null,Prospect,,,false,(503) 914-6313,1164 Southeast 82nd Avenue,null,Cascade Auto,http://www.cascadecarsales.com/,Oregon,null,79846,
94544,false,United States,null,null,false,Hayward,001j0000011UOQgAAO,null,null,null,Prospect,,,false,(510) 888-1318,29290 Mission Boulevard,null,Dhillon & Mushiana Auto Sales,http://www.dhillonmushianaautos.com/,California,null,79835,
78148,false,United States,null,null,false,Dallas,001j0000011Qmr1AAC,null,null,null,Prospect,,,false,(210) 827-6563,Location Pending,null,Used Luxury Cars-John Mathews,,Texas,null,79849,
98003,false,United States,null,null,false,Federal Way,001j0000014EtdJAAS,null,null,null,Prospect,,,false,(253) 941-3335,29805 Pacific Highway South,null,Payless Auto Mart,http://www.paylessautomart.net/,Washington,null,79838,
95358,false,United States,null,null,false,Modesto,001j0000015WSitAAG,null,null,null,Prospect,,,false,(209) 846-9878,1949 Crows Landing Road,null,Lupita?s Auto Sales Inc.,http://lupitasautos.com/,California,null,79848,
10466,false,United States,null,null,false,Bronx,001j0000011T9F2AAK,null,null,null,Prospect,,,false,(718) 881-0001,4053 Boston Rd,null,Best Auto Group,http://bronxbestauto.com/,New York,null,79837,
15425,false,United States,null,null,false,Connellsville,001j0000016yvCIAAY,null,null,null,Prospect,,,false,(724) 628-4221,1509 Morrell Avenue,null,Jack Hann Auto Sales,,pennsylvania,null,79839,
