zip,siteMismatch,country,franchise,standardStreet,significantDifference,city,salesforceId,stdState,stdStreet,stdCity,customerStatus,parentAccountName,parentAccountSalesforceId,outdated,phone,street,stdCountry,name,salesforceWebsite,state,stdPhone,salesforceAccountId,brandAffiliation
72120,null,United States,true,5980 wadley road,true,Sherwood,001j000000aEofCAAS,AR,5980 wadley road,null,Prospect,,,true,(877) 346-9097,5980 Wadley Road,null,Crain Auto Group,http://www.crainteam.com/,Arkansas,8773469097,380,Buick; Chevrolet; Ford; GMC; Hyundai; Kia; Mazda; Volkswagen
55901,null,United States,true,2955 48th street northwest,true,Rochester,001j000000Nmi8PAAR,MN,2955 48th street northwest,null,Customer,,,null,(507) 529-5200,2955 48Th Street Northwest,null,Rochester Mitsubishi,http://www.rochestermazda.com/,Minnesota,5075295200,385,Mitsubishi
98390,null,United States,true,16302 auto lane,true,Sumner,001j000000Nmi1cAAB,WA,16302 auto lane,null,Customer,Rairdon,001j000000NmM5K,null,(855) 997-9067,16302 Auto Lane,null,Rairdon Honda of Sumner,http://www.hondaofsumner.com/,Washington,8559979067,165,Honda
95051,null,United States,true,4201 stevens creek boulevard,true,Santa Clara,001j000000aEcaXAAS,CA,4201 stevens creek boulevard,null,Customer,AutoNation Corporate,001j000000NmM5R,null,8772108240,4201 Stevens Creek Boulevard,null,An Imports Of Stevens Creek In,http://www.miniofstevenscreek.com/,California,8772108240,265,MINI
75080,null,United States,true,233 north central expressway,true,Richardson,001j000000aEcaBAAS,TX,233 north central expressway,null,Customer,The Hertz Corporation,001j000000aEeuA,true,(972) 907-0726,233 North Central Expressway,null,Hertz Car Sales,http://www.hertzcarsalesrichardson.com/,Texas,9729070726,232,
95687,null,United States,true,580 orange drive,true,Vacaville,001j000000NmhKCAAZ,CA,580 orange drive,null,Prospect,Auto Focus Group,001j0000015U437,null,(707) 449-6900,721 Orange Drive,null,Vacaville Volkswagen,http://www.vacavillevw.com/,California,7074496900,111,Volkswagen
89146,null,United States,true,6335 west sahara avenue,false,Las Vegas,001j000000aEcwnAAC,NV,6335 west sahara avenue,null,Customer,AutoNation Corporate,001j000000NmM5R,null,(702) 822-7000,6335 West Sahara Avenue,null,Audi Las Vegas,http://www.audilasvegas.com/index.htm,Nevada,7028227000,454,Audi
5253,null,Australia,null,7 adelaide road,true,Murray Bridge,001j000000hoXGTAA2,XX,7 adelaide road,null,Customer,Pentana,001j000000NmMot,true,(088) 531-5600,7 Adelaide Rd,null,Duttons Automotive,http://www.duttons.com.au/,South Australia,,179,
98272,null,United States,true,16413 west main street,true,Monroe,001j000000NmQlSAAV,WA,16413 west main street,null,Customer,Rairdon,001j000000NmM5K,null,(360) 805-5500,16413 West Main Street,null,Rairdons DCJ of Monroe,http://www.dodgechryslerjeepofmonroe.com/,Washington,3608055500,135,Chrysler; Dodge; Jeep
72455,null,United States,true,1001 highway 62,true,Pocahontas,001j000000NmVTtAAN,AR,1001 highway 62,null,Prospect,,,null,(870) 892-5247,1001 Highway 62,null,Baltz Chevrolet,http://www.baltzchevrolet.com/,Arkansas,8669250449,124,Chevrolet
45459,null,United States,true,299 loop road,true,Washington,001j000000NmdO8AAJ,OH,299 loop road,null,Prospect,Evans Motorworks,001j000000NmLcf,null,(937) 434-8877,299 Loop Road,null,Infiniti of Dayton,http://www.infinitiofdayton.com/,Ohio,9374348877,411,Infiniti
