Trivial Difference,Salesforce Unique ID,defunctDomain,Account Name,Current Salesforce Website,defunctContent,Site is kosher,defunctPath,uncrawlablePath,Website (Primary) URL,Http status code,uncrawlableDomain,badUrlStructure
true,001j000000aEoUaAAK,false,Fremont Motor Rock Springs,www.fremontchryslerdodgejeeprocksprings.com,false,true,false,false,http://www.fremontchryslerdodgejeeprocksprings.com/,200,false,false
true,001j000000NmjOKAAZ,false,Segment - Buick - Ultimate Automotive,www.driveultimate.com,false,true,false,false,http://www.driveultimate.com/,200,false,false
true,001j000000aEfv7AAC,false,TTT Inc.,http://www.tomkadlec.com/,false,false,false,false,http://www.tomkadlec.com/,200,false,false
true,001j000000NmdleAAB,false,Infiniti of Chattanooga,www.infinitichattanooga.com,false,true,false,false,http://infinitichattanooga.com/,200,false,false
true,001j000000NmYrnAAF,false,Toyota of Wallingford,www.wow-toyota.com,false,true,false,false,http://www.wow-toyota.com/,200,false,false
true,001j000000NmYrXAAV,false,Superior Dodge Chrysler Jeep Ram of Conway,www.superiorfivestar.com,false,true,false,false,http://www.superiorfivestar.com/,200,false,false
true,001j000000Nma8eAAB,false,Centennial Imports Inc,www.centennialimports.com,false,true,false,false,http://www.centennialimports.com/,200,false,false
true,001j000000e3rgJAAQ,false,Segment - Kia - O'Brien Mega Sales,www.napletonskiaofurbana.com,false,true,false,false,http://www.napletonskiaofurbana.com/,200,false,false
true,001j000000NmOSYAA3,false,Courtesy Buick GMC,www.courtesybuickgmc.com,false,true,false,false,http://www.courtesybuickgmc.com/,200,false,false
true,001j000000Nmi23AAB,false,Handy Buick GMC Cadillac,www.handygmc.com,false,true,false,false,http://www.handygmc.com/,200,false,false
true,001j000000PbXMTAA3,false,Taylor Ford Sales,www.taylorford.ca,false,true,false,false,http://www.taylorford.ca/,200,false,false
true,001j000000NmYikAAF,false,Tremonte Auto Group Inc,www.tremonteautogroup.com,false,true,false,false,http://www.tremonteautogroup.com/,200,false,false
true,001j000000NmgiSAAR,false,Alleghany Motors,www.alleghanymotors.com,false,true,false,false,http://www.alleghanychevybuickgmc.com/,200,false,false
true,001j000000NmdkXAAR,false,Courtesy Car City,www.courtesycarcity.com,false,true,false,false,http://www.courtesycarcity.com/,200,false,false
true,001j000000NmWEqAAN,false,Victory Chevrolet Cadillac,http://www.victorychevy.com/,false,true,false,false,http://www.victorychevy.com/,200,false,false
true,001j000000PbXGvAAN,false,Dams Lincoln Sales,http://damslincolnofsurrey.dealerconnection.com/,false,true,false,false,http://damslincolnofsurrey.dealerconnection.com/,200,false,false
true,001j000000Nme4JAAR,false,Honda of Grand Blanc,www.hondaofgrandblanc.com,false,true,false,false,http://www.hondaofgrandblanc.com/,200,false,false
true,001j000000NmZdrAAF,false,Plaza Chrysler Dodge Jeep Ram,www.plazachryslerdodge.com,false,true,false,false,http://www.plazachryslerdodge.com/,200,false,false
true,001j000000NmLhYAAV,false,Intercar Mercedes Benz,www.intercarmb.com,false,true,false,false,http://www.intercarmb.com/,200,false,false
true,001j000000aEZnIAAW,false,Acme Motors Inc,www.acmenissan.com,false,true,false,false,http://www.acmenissan.com/,200,false,false
true,001j000000NmZ5lAAF,false,Carman Fiat,www.fiatusaofnewcastle.com,false,true,false,false,http://www.fiatusaofnewcastle.com/,200,false,false
true,001j000000NmdODAAZ,false,Collierville Chrysler Dodge Jeep Ram,www.colliervillechryslerdodgejeepram.com,false,true,false,false,http://www.colliervillechryslerdodgejeepram.com/,200,false,false
true,001j000000NmMJPAA3,false,Coulter Nissan,www.coulternissan.com,false,true,false,false,http://www.coulternissan.com/,200,false,false
true,001j000000aEb57AAC,false,Bill McCurley Chevrolet,http://www.mccurleyintegritychevrolet.com/,false,true,false,false,http://www.mccurleyintegritychevrolet.com/,200,false,false
true,001j000000NmeZcAAJ,false,Findlay Subaru-St George,www.findlaysubaru.com,false,true,false,false,http://www.findlaysubaru.com/,200,false,false
true,001j000000NmdmFAAR,false,Tom Pappas Toyota Scion,http://www.pappastoyota.com/index.htm,false,true,false,false,http://www.pappastoyota.com/,200,false,false
true,001j000000PbXbHAAV,false,Anderson Kia,www.andersonkia.ca,false,true,false,false,http://www.andersonkia.ca/,200,false,false
true,001j000000aEbYbAAK,false,Fletcher Jones Midwest Automot,www.fletcherjonesaudi.com,false,true,false,false,http://www.fletcherjonesaudi.com/,200,false,false
