foreignType,country,city,stdPostal,stdState,stdName,salesforceMatchString,foreignIdentifierString,outdated,street,custom3,custom4,custom1,state,custom2,custom5,custom6,identifier,website,stdStreet,stdCity,basicDealerId,phone,stdCountry,name,postal,projectIdentifier,stdPhone
null,United States,Greenville,29607,SC,null,"Address Match : 001j000000Nmi90AAB
Phone Match : 001j000000Nmi90AAB
Website Match : 001j000000Nmi90AAB",null,false,1431 Laurens Rd,null,null,"1431 Laurens Rd
Greenville, SC 29607",SC,null,null,null,null,http://www.touringsport.com/,1431 laurens road,null,1143,+1 (864) 232-2269,United States,Touring Sport BMW,29607,finished,8642322269
null,USA,Ormond Beach,32174,FL,null,Website Match : 001j000000aEe60AAC,null,false,1637 N US Hwy 1,null,I20,"1637 N US Hwy 1
Ormond Beach, FL, USA 32174-2539
(386) 671-7100 | Website",FL,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
",F14,Website Match : 001j000000aEe60AAC,652,http://www.brucerossmeyer.com/,1637 north us highway 1,null,391,(386) 671-7100,United States,Bruce Rossmeyer's Daytona Harley-Davidson,32174-2539,Harley,3866717100
null,USA,Sioux Falls,57107,SD,null,"Phone Match : 001j000000Q6lUWAAZ
Website Match : 001j000000Q6lUWAAZ",null,false,2601 W 60th St N,null,I04,"2601 W 60th St N
Sioux Falls, SD, USA 57107-0860
605-334-2721 | Website",SD,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",F04,Phone Match : 001j000000Q6lUWAAZ,4871,http://www.jl-harley.com/,2601 west 60th st north,null,670,605-334-2721,United States,J & L Harley-Davidson,57107-0860,Harley,6053342721
null,USA,Missoula,59808,MT,null,"Address Match : 001j00000170PGyAAM
Phone Match : 001j00000170PGyAAM",null,false,5106 E Harrier Blvd,null,I04,"5106 E Harrier Blvd
Missoula, MT, USA 59808-9714
(406) 721-2154 | Website",MT,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Authorized Service
H.O.G.® Chapter
H-D® Authorized Rentals
Test Ride
",F04,Not in salesforce,3195,http://www.grizzlyhd.com/,5106 east harrier boulevard,null,473,(406) 721-2154,United States,Grizzly Harley-Davidson,59808-9714,Harley,4067212154
null,USA,Salinas,93901,CA,null,"Address Match : 001j000000NmQdeAAF
Phone Match : 001j000000NmMRMAA3
Website Match : 001j000000NmQdeAAF",null,false,333 N Main St,null,I02,"333 N Main St
Salinas, CA, USA 93901-2817
(831) 731-5066 | Website",CA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F02,Address Match : 001j000000NmQdeAAF,3278,http://www.montereyharleydavidson.com/,333 north main street,null,232,(831) 731-5066,United States,"Monterey Harley-Davidson, Salinas",93901-2817,Harley,8317315066
null,USA,Spokane Valley,99016,WA,null,"Address Match : 001j0000016zr3eAAA
Phone Match : 001j0000016zr3eAAA
Website Match : 001j0000016zr3eAAA",null,false,19011 E Cataldo Ave,null,I03,"19011 E Cataldo Ave
Spokane Valley, WA, USA 99016-9423
(509) 927-7433 | Website",WA,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",F01,Address Match : 001j0000016zr3eAAA,2460,http://www.lonewolfh-d.com/,19011 east cataldo avenue,null,475,(509) 927-7433,United States,Lone Wolf Harley-Davidson,99016-9423,Harley,5099277433
null,USA,Long Island City,11101,NY,null,"Address Match : 001j000000rTIXWAA4
Phone Match : 001j000000rTIXWAA4
Website Match : 001j000000rTIXWAA4",null,false,4211 Northern Blvd,null,I13,"4211 Northern Blvd
Long Island City, NY, USA 11101-1539
(718) 707-9300 | Website",NY,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D JUMPSTART™
H-D Authorized Service
H.O.G.® Chapter
Test Ride
",F23,Address Match : 001j000000rTIXWAA4,1455,http://www.nycharleydavidson.com/,4211 northern boulevard,null,750,(718) 707-9300,United States,Harley-Davidson of New York City,11101-1539,Harley,7187079300
null,USA,Madawaska,04756,ME,null,"Address Match : 001j000000Nmfr9AAB
Phone Match : 001j00000170PNCAA2",null,false,116 Main St,null,I14,"116 Main St
Madawaska, ME, USA 04756-1476
(207) 496-3211 | Website",ME,"H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
",F24,Not a dealer,3398,http://www.plourdeplourde.com/,116 main street,null,596,(207) 496-3211,United States,Plourde's Harley-Davidson,04756-1476,Harley,2074963211
null,USA,North Hampton,03862,NH,null,"Address Match : 001f100001AAlGLAA1
Phone Match : 001j00000170PO2AAM",null,false,17 Lafayette Rd,null,I14,"17 Lafayette Rd
North Hampton, NH, USA 03862-2402
603-964-9959 | Website",NH,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
H-D® Authorized Rentals
Test Ride
",F24,Not in salesforce,2805,http://www.seacoastharley.com/,17 lafayette road,null,597,603-964-9959,United States,Seacoast Harley-Davidson,03862-2402,Harley,6039649959
null,USA,Orange Park,32073,FL,null,"Address Match : 001j000000w190PAAQ
Phone Match : 001j000000w190PAAQ
Website Match : 001j000000w192uAAA",null,false,1520 Wells Rd,null,I20,"1520 Wells Rd
Orange Park, FL, USA 32073-6730
904-215-1931 | Website",FL,"H-D® Motorcycles
H-D MotorClothes® Merchandise
H-D Genuine Motor Accessories
H-D Gift Card
Express Lane™ Service
HD-1™ Fit Shop
H-D Authorized Service
H.O.G.® Chapter
H-DTM Riding Academy
Test Ride
",F14,Address Match : 001j000000w190PAAQ,679,http://www.adamecharley.com/,1520 wells road,null,399,904-215-1931,United States,Adamec Harley-Davidson of Orange Park,32073-6730,Harley,9042151931
