Account Name,Dealership City,Dealership State/Province,Dealership Country,basicDealerId,Phone,Dealership Street,Salesforce Matches,Dealership Zip/Postal Code
Touring Sport BMW,,SC,United States,1143,1431 laurens road,1431 laurens road,"https://dealersocket.my.salesforce.com/001j000000Nmi90AAB
https://dealersocket.my.salesforce.com/001j000000VuEEyAAN
",29607
Santa Fe BMW Motorcycles,,NM,United States,1163,2544 camino edward ortiz,2544 camino edward ortiz,"https://dealersocket.my.salesforce.com/001j000000NmMrlAAF
",87507
BMW Motorcycles of Walnut Creek,,CA,United States,1185,1255 parkside dr,1255 parkside dr,"https://dealersocket.my.salesforce.com/001f100001A9pNQAAZ
",94596
Sandia BMW Motorcycles,,NM,United States,1161,6001 pan american fwy ne,6001 pan american fwy ne,"https://dealersocket.my.salesforce.com/001j000000NmWhxAAF
https://dealersocket.my.salesforce.com/001j000000NmMozAAF
",87109
BMW Motorcycles of Lititz,,PA,United States,1260,933 lititz pike,933 lititz pike,"https://dealersocket.my.salesforce.com/001j000000zn9E0AAI
",17543
Trail's End BMW,,AK,United States,1877,1450 karen way,1450 karen way,"https://dealersocket.my.salesforce.com/001j0000016zt4IAAQ
",99709
BMW Motorcycles of Utah,,UT,United States,1215,339 west 9000 south,339 west 9000 south,"https://dealersocket.my.salesforce.com/001j000000NmhjEAAR
",84070
BMW Motorcycles of McDonough,,GA,United States,1137,755 industrial boulevard,755 industrial boulevard,"https://dealersocket.my.salesforce.com/001j000000zmGwNAAU
",30253
Victory BMW,,AZ,United States,1158,2677 east willis road,2677 east willis road,"https://dealersocket.my.salesforce.com/001j000000zmWgUAAU
",85286
BMW Motorcycles of Pensacola,,FL,United States,1135,6330 pensacola boulevard,6330 pensacola boulevard,"https://dealersocket.my.salesforce.com/001j000000w2MSkAAM
",32505
Bob's BMW,,MD,United States,1256,10720 guilford road,10720 guilford road,"https://dealersocket.my.salesforce.com/001j000000y9OQtAAM
",20794
Battley Cycles,,MD,United States,1255,7830 airpark road,7830 airpark road,"https://dealersocket.my.salesforce.com/001j00000170PEhAAM
",20879
BMW Motorcycles of Denton,,TX,United States,1155,521 acme street,521 acme street,"https://dealersocket.my.salesforce.com/001j000000VuGH3AAN
",76205
Northern Colorado Powersports,,CO,United States,1232,1303 sw frontage road,1303 sw frontage road,"https://dealersocket.my.salesforce.com/001j000000Q6kvKAAR
",80524
Towne BMW Motorcycles,,NY,United States,1353,8215 main street,8215 main street,"https://dealersocket.my.salesforce.com/001j000000NmZyMAAV
",14221
European Motorrad,,SK,Canada,2640,2634 faithfull avenue,2634 faithfull avenue,"https://dealersocket.my.salesforce.com/001j000000NmaqhAAB
",S7K5W3
BMW Toronto,,ON,Canada,2629,11 sunlight park road,11 sunlight park road,"https://dealersocket.my.salesforce.com/001j000000NmiH7AAJ
https://dealersocket.my.salesforce.com/001j000000gVSfoAAG
",M4M1B5
"BMW Motorcycles of Western Oregon,",,OR,United States,1218,2891 west 11th avenue,2891 west 11th avenue,"https://dealersocket.my.salesforce.com/001j0000011Qn2iAAC
",97402
"Mischler's Harley-Davidson, BMW Limited Liability Company",,WI,United States,1297,n8131 kellom road,n8131 kellom road,"https://dealersocket.my.salesforce.com/001j00000170PJeAAM
",53916
Van-Wall Powersports,,IA,United States,1293,301 south jefferson way,301 south jefferson way,"https://dealersocket.my.salesforce.com/001j000000VuFE6AAN
https://dealersocket.my.salesforce.com/001j000000zma3lAAA
",50125
Wild West Honda,,TX,United States,1392,22515 katy fwy,22515 katy fwy,"https://dealersocket.my.salesforce.com/001j000000VuGLMAA3
",77450
BMW Motorcycles of Nimitz,,HI,United States,1292,3149 north nimitz highway,3149 north nimitz highway,"https://dealersocket.my.salesforce.com/001j000000VuGw0AAF
",96819
