id,capdb,crawlDate,crawlFromGivenUrl,crawlStorageFolder,emptySite,franchise,givenAddress,givenEmail,givenUrl,intermediateUrl,niada,numPages,redirectUrl,siteName,siteUrl,urlRequiresReview,SUMMARY_GENERAL_STATS_ID,SUMMARY_SCHEDULER_STATS_ID,SUMMARY_SITE_ID,SUMMARY_WP_STATS_ID,id,CRM,DMS,acura,address,areaCode,astonMartin,audi,bentley,bmw,buick,cadillac,carsSold,chevy,chrysler,city,country,currentCRM,currentCRMSatisfaction,dataMiningToold,dealershipName,dodge,email,ferrari,fiat,first1,first2,first3,firstName,ford,gmc,groupName,hasBDC,hasScheduler,honda,hummer,hyundai,inMarketCRM,infiniti,inventory,jaguar,jeep,kia,lamborghini,landRover,last1,last2,last3,lastName,leadStatus,lead_no,lexus,lincoln,lotus,maserati,mazda,mclaren,mercedes,mini,mitsubishi,nissan,numSalesPeople,phone,porsche,rating,role,role1,role2,role3,rollsRoyce,salesServiceBDC,salesServiceCRM,schedulerProvider,scion,serviceSoftware,singlePoint,smart,state,subaru,timeLeftCRM,toyota,useDataMining,volvo,vw,webProvider,website,zip,id,AREA_CARS,AUTO_ONE,CARBASE,CARS_FOR_SALE,CLICK_MOTIVE,COBALT,COBALT_GROUP,COBALT_NITRA,DEALERFIRE,DEALERINSPIRE,DEALER_APEX,DEALER_CAR_SEARCH,DEALER_COM,DEALER_EPROCESS,DEALER_EPROCESS_PRIMARY,DEALER_LAB,DEALER_ON,DEALER_ON_SECONDARY,DEALER_TRACK,DEALER_ZOOM,DEALER_ZOOM_SECONDARY,DIGIGO,DOMINION,DRIVE_WEBSITE,EBIZ_AUTOS,ELEAD_DIGITAL_CRM,FORD_DIRECT,FRESH_INPUT,FUSION_ZONE,GARY_STOCK,INTERACTIVE_360,JAZELAUTOS,LIQUID_MOTORS,MOTION_FUZE,NAKED_LIME,NAKED_LIME_SECONDARY,POTRATZ,POTRATZ_SECONDARY,REYNOLDS,SMART_DEALER_SITES,SOKAL_MEDIA_GROUP,VINSOLUTIONS,WAYNE_REAVES,id,ACUITY_SCHEDULER,ADP_OLD_SCHEDULER,ADP_OLD_SCHEDULER_ALTERNATIVE,ADP_SCHEDULER,ADP_SCHEDULER_BACKUP,AD_WORKZ_SCHEDULER,AUTO_APPOINTMENTS_SCHEDULER,CAR_RESEARCH_SCHEDULER,CIMA_SYSTEMS,CIMA_SYSTEMS_SECONDARY,COBALT_SCHEDULER,DEALERMINE_SCHEDULER,DEALER_CONNECTION_SCHEDULER,DEALER_FX_SCHEDULER,DEALER_SOCKET,DRIVERSIDE_SCHEDULER,LEAD_RESULT_SCHEDULER,MY_VEHICLE_SITE_SCHEDULER,OTHER_XTIME,PBS_SYSTEMS_SCHEDULER,REYNOLDS_SCHEDULER,SCHEDULE_WEB_PRO_SCHEDULER,SERVICE_BOOK_PRO_SCHEDULER,SHOPWATCH_SCHEDULER,TIME_HIGHWAY_SCHEDULER,TOTAL_CUSTOMER_CONNECT_SCHEDULER,UDC_REVOLUTION,VIN_SOLUTION_SCHEDULER,XTIME_SCHEDULER,id,ACTIVE_ENGAGE,ADD_THIS,ADOBE_TAG_MANAGER,AD_ROLL,AKAMAI,ANDROID_APP,APPLE_APP,APPNEXUS,AUTO_TRADER_PLUGIN,BLACKBOOK_INFORMATION,BOLD_CHAT,CALL_MEASUREMENT,CARCODE_SMS,CLICKY,CLOUDFLARE,COLLSERVE,CONTACTATONCE,CUTECHAT,DEALERSHIP_INTEGRATED_DATA_SOLUTIONS,DEALERVIDEOS,DEALER_CENTRIC,DEALER_COM_POWERED_BY,DEALER_COM_VERSION_8,DEALER_COM_VERSION_9,DEALER_EPROCESS_CHAT,DEMDEX,E_CARLIST,FETCHBACK,FORCETRAC,GHOSTERY,GHOSTERY_SECOND,GOOGLE_MAPS,GOOGLE_TAG_MANAGER,GOOGLE_TRANSLATE,GUBA_GOO_TRACKING,HAS_GOOGLE_PLUS,INSPECTLET,JQUERY,LOT_LINX,MOTOFUZE,MY_VEHICLE_SITE,NAKED_LIME_IMAGES,OUTSELLCAMPAIGNSTORE,PLUS_ONE_BUTTON,POSTS_INSTAGRAM_TO_SITE,PURE_CARS,SHARP_SPRING,SHOWROOM_LOGIC,SKYSA,SOCIAL_CRM_360,SPEEDSHIFTMEDIA,USES_CLIENT_CONNEXION,USES_GOOGLE_AD_SERVICES,USES_GOOGLE_ANALYTICS,VIN_LENS,VOICESTAR,WUFOO_FORMS,YOAST,YOUTUBE_EMBEDDED
2,LEA15225,2015-05-18,0,dealersocket/crawldata/jpatest/http%3A%2F%2Fwww.driveultimate.com%2F/05-18-2015,0,0,"ULTIMATE BUICK GMC",,http://www.driveultimate.com/,http://www.driveultimate.com/,testing,173,http://www.driveultimate.com/,"ULTIMATE BUICK GMC",Unknown,0,432,432,1,432,1,,,0,"5150 JEFFERSON DAVIS HWY",,0,0,0,0,0,0,,0,0,FREDERICKSBURG,USA,,,,"ULTIMATE BUICK GMC",0,,0,0,Willie,Melvin,Rod,Willie,0,0,,,Yes,0,0,0,,0,97,0,0,0,0,0,Smith,Carter,Martin,Smith,"Current Customer",LEA15225,0,0,0,0,0,0,0,0,0,0,,"(866) 488-2073",0,"3.5 to 4.4 Stars",,"SLS MGR",GM,"BDC MGR",0,,,Cobalt,0,,,0,VA,0,,0,,0,0,Cobalt,http://www.driveultimate.com/,22408,432,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,LEA2699,2015-05-18,0,dealersocket/crawldata/jpatest/http%3A%2F%2Fwww.greenteamofclaycenter.net%2F/05-18-2015,0,0,"Green Team Of Clay Center, Inc.",GM@GreenTeamCars.com,www.greenteamofclaycenter.net/,http://www.greenteamofclaycenter.net/,testing,123,http://www.greenteamofclaycenter.net/,"Green Team Of Clay Center, Inc.",Unknown,0,691,691,2,691,2,,,0,"802 West Crawford Street",,0,0,0,0,0,0,,0,0,"Clay Center",USA,,,,"Green Team Of Clay Center, Inc.",0,GM@GreenTeamCars.com,0,0,Bill,Rod,Doug,,0,0,,,No,0,0,0,,0,54,0,0,0,0,0,Rice,Atkison,Gugler,,Research,LEA2699,0,0,0,0,0,0,0,0,0,0,,"(877) 834-1660",0,None,,GM,"FIN MGR","Business Manager",0,,,,0,,,0,KS,0,,0,,0,0,Dealer.com,www.greenteamofclaycenter.net/,67432,691,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,LEA17409,2015-05-18,0,dealersocket/crawldata/jpatest/http%3A%2F%2Fwww.smartcenteroforlandpark.com%2F/05-18-2015,0,0,"smart center of orland park",dkrogulski@mbop.com,http://www.smartcenteroforlandpark.com/,http://www.smartcenteroforlandpark.com/,testing,142,http://www.smartcenteroforlandpark.com/,"smart center of orland park",Unknown,0,834,834,3,834,3,AutoBase,DealerTrack,0,"8470 W 159TH ST",,0,0,0,0,0,0,101-175,0,0,"ORLAND PARK",USA,"Over 2 years",,,"smart center of orland park",0,dkrogulski@mbop.com,0,0,David,Bradley,Chris,Darius,0,0,,Yes,No,0,0,0,,0,26,0,0,0,0,0,Nocera,Schrader,Ray,Krogulski,"Completed Survey",LEA17409,0,0,0,0,0,0,0,0,0,0,11-15,"(708) 460-0400",0,None,,GM,GSM,"Business Manager",0,Yes,Yes,,0,,Single,0,IL,0,,0,No,0,0,MotorTrak,http://www.smartcenteroforlandpark.com/,60462,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,LEA858,2015-05-18,0,dealersocket/crawldata/jpatest/http%3A%2F%2Fwww.monteshelton.com%2Findex.htm/05-18-2015,0,0,"Monte Shelton Motor Company",,http://www.monteshelton.com/index.htm,http://www.monteshelton.com/index.htm,testing,134,http://www.monteshelton.com/index.htm,"Monte Shelton Motor Company",Unknown,0,567,567,4,567,4,ADP,ADP,0,"1638 W Burnside St",,0,0,0,0,0,0,0-100,0,0,Portland,USA,"Over 2 years",,DealerWizard,"Monte Shelton Motor Company",0,,0,0,Neil,Jim,Jolyn,Jim,0,0,,No,No,0,0,0,,0,32,0,0,0,0,0,Shelton,Tower,Duenas,Tower,"Completed Survey",LEA858,0,0,0,0,0,0,0,0,0,0,0-5,503.224.3232,0,None,,President,"SLS MGR","Business Manager",0,,Yes,,0,,Single,0,OR,0,,0,Yes,0,0,Dealer.com,http://www.monteshelton.com/index.htm,97209,567,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,LEA793,2015-05-18,0,dealersocket/crawldata/jpatest/http%3A%2F%2Fwww.griffithhonda.com%2F/05-18-2015,0,0,"Griffith Honda",tammy@griffithmotors.com,http://www.griffithhonda.com/,http://www.griffithhonda.com/,testing,257,http://www.griffithhonda.com/,"Griffith Honda",Unknown,0,258,258,5,258,5,ADP,ADP,0,"1800 W 6th St",,0,0,0,0,0,0,101-175,0,0,"The Dalles",USA,"1 year",,RedBumper,"Griffith Honda",0,tammy@griffithmotors.com,0,0,Ed,Chris,Jorge,Tammy,0,0,,No,Yes,0,0,0,,0,94,0,0,0,0,0,DePaepe,Wofford,Ramirez,McVane,"Completed Survey",LEA793,0,0,0,0,0,0,0,0,0,0,06-10,800-395-0250,0,"3.5 to 4.4 Stars",,GSM,"SLS MGR","Business Manager",0,,No,xTime,0,Xtime,Single,0,OR,0,,0,Yes,0,0,MotorWebs,http://www.griffithhonda.com/,97058,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,LEA11972,2015-05-18,0,dealersocket/crawldata/jpatest/http%3A%2F%2Fwww.volvoofnashville.com%2F/05-18-2015,0,0,"Volvo of Nashville",jet@nashvillevolvo.com,http://www.volvoofnashville.com/,http://www.volvoofnashville.com/,testing,41,http://www.volvoofnashville.com/,"Volvo of Nashville",Unknown,0,876,876,6,876,6,DealerTrackCRM,DealerTrack,0,"302 Murfreesboro Pike",,0,0,0,0,0,0,0-100,0,0,Nashville,USA,"Over 2 years",,,"Volvo of Nashville",0,jet@nashvillevolvo.com,0,0,Jet,John,Paula,,0,0,,Yes,No,0,0,0,,0,95,0,0,0,0,0,Tune,Phillips,Thompson,,"Completed Survey",LEA11972,0,0,0,0,0,0,0,0,0,0,0-5,"(615) 244-7000",0,"3.5 to 4.4 Stars",,President,"Business Manager",Controller,0,No,Yes,,0,,Single,0,TN,0,,0,No,0,0,,http://www.volvoofnashville.com/,37210,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,LEA15962,2015-05-18,0,dealersocket/crawldata/jpatest/http%3A%2F%2Fwww.sheehynissanglenburnie.com%2F/05-18-2015,0,0,"Sheehy Nissan Glen Burnie",mikeharrison@sheehy.com,www.sheehynissanglenburnie.com/,http://www.sheehynissanglenburnie.com/,testing,334,http://www.sheehynissanglenburnie.com/,"Sheehy Nissan Glen Burnie",Unknown,0,10596,10596,7,10596,7,,,0,"7232 Ritchie Hwy",,0,0,0,0,0,0,,0,0,"Glen Burnie",USA,,,,"Sheehy Nissan Glen Burnie",0,mikeharrison@sheehy.com,0,0,Mike,Bradley,Amber,Mike,0,0,"Sheehy Auto Stores",,No,0,0,0,,0,69,0,0,0,0,0,Nicoli,Michael,Hendricks,Harrison,"Attempted to Call",LEA15962,0,0,0,0,0,0,0,0,0,0,,"(888) 617-4866",0,"3.5 to 4.4 Stars",,GSM,"SLS MGR","Customer Relations Manager",0,,,,0,,Multi,0,MD,0,,0,,0,0,Dealer.com,www.sheehynissanglenburnie.com/,21061,10596,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10596,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
59,LEA880,2015-05-18,0,dealersocket/crawldata/jpatest/http%3A%2F%2Fwww.countryfordtrucks.com%2F/05-18-2015,0,0,"Country Ford Trucks",,www.countryfordtrucks.com/,http://www.countryfordtrucks.com/,testing,145,http://www.countryfordtrucks.com/,"Country Ford Trucks",Unknown,0,9705,9705,8,9705,8,,,0,"1720 Herndon Rd",,0,0,0,0,0,0,,0,0,Ceres,USA,,,,"Country Ford Trucks",0,,0,0,John,Elizabeth,Charlie,Jeff,0,0,,,Yes,0,0,0,,0,69,0,0,0,0,0,Shipman,Bunch,Fernandez,Shipman,"Attempted to Call",LEA880,0,0,0,0,0,0,0,0,0,0,,209-541-3673,0,"0 to 1.4 Stars",,DP,DP,DP,0,,,DealerConnection,0,,,0,CA,0,,0,,0,0,Other,www.countryfordtrucks.com/,95307,9705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,LEA16954,2015-05-18,0,dealersocket/crawldata/jpatest/http%3A%2F%2Fwww.porscheofsanantonio.com%2Findex.htm/05-18-2015,0,0,"Porsche of San Antonio",don@porscheofsanantonio.com,http://www.porscheofsanantonio.com/index.htm,http://www.porscheofsanantonio.com/index.htm,testing,123,http://www.porscheofsanantonio.com/index.htm,"Porsche of San Antonio",Unknown,0,2701,2701,9,2701,9,,,0,"9455 IH-10",,0,0,0,0,0,0,,0,0,"West San Antonio",USA,,,,"Porsche of San Antonio",0,don@porscheofsanantonio.com,0,0,Don,Douglas,Matt,Don,0,0,,,No,0,0,0,,0,62,0,0,0,0,0,Faerber,Cox,Hokenson,Faerber,"Attempted to Call",LEA16954,0,0,0,0,0,0,0,0,0,0,,877-537-6213,0,"3.5 to 4.4 Stars",,GM,GSM,"SLS MGR",0,,,,0,,,0,TX,0,,0,,0,0,Dealer.com,http://www.porscheofsanantonio.com/index.htm,78230,2701,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2701,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
22,LEA14535,2015-05-18,0,dealersocket/crawldata/jpatest/http%3A%2F%2Fwww.autonationvolvosouthbay.com%2Findex.htm/05-18-2015,0,0,"AutoNation Volvo South Bay Torrance",,http://www.autonationvolvosouthbay.com/index.htm,http://www.autonationvolvosouthbay.com/index.htm,testing,163,http://www.autonationvolvosouthbay.com/index.htm,"AutoNation Volvo South Bay Torrance",Unknown,0,3567,3567,10,3567,10,Compass(AutoNation),ADP,0,"3010 Pacific Coast Highway",,0,0,0,0,0,0,0-100,0,0,Torrance,USA,"Over 2 years",,AutoAlert,"AutoNation Volvo South Bay Torrance",0,,0,0,Steve,Jerry,Bill,,0,0,AutoNation,Yes,Yes,0,0,0,,0,73,0,0,0,0,0,Ferrara,"De Souza",Gardner,,"Completed Survey",LEA14535,0,0,0,0,0,0,0,0,0,0,0-5,"(424) 253-6969",0,"3.5 to 4.4 Stars",,GM,"SLS MGR","FIN DIR",0,Yes,Yes,xTime,0,,Multi,0,CA,0,,0,Yes,0,0,Dealer.com,http://www.autonationvolvosouthbay.com/index.htm,90505,3567,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
