ziplocationid,city,decomissioned,latitude,longitude,state,zip,zipType
1,AIBONITO,0,18.14,-66.26,PR,00705,STANDARD
2,ANASCO,0,18.28,-67.14,PR,00610,STANDARD
3,ANGELES,0,18.28,-66.79,PR,00611,"PO BOX"
4,ARECIBO,0,18.45,-66.73,PR,00612,STANDARD
5,ADJUNTAS,0,18.16,-66.72,PR,00601,STANDARD
6,CASTANER,0,18.19,-66.82,PR,00631,"PO BOX"
7,AGUADA,0,18.38,-67.18,PR,00602,STANDARD
8,AGUADILLA,0,18.43,-67.15,PR,00603,STANDARD
9,AGUADILLA,0,18.43,-67.15,PR,00604,"PO BOX"
10,AGUADILLA,0,18.43,-67.15,PR,00605,"PO BOX"
11,"AGUAS BUENAS",0,18.25,-66.1,PR,00703,STANDARD
12,AGUIRRE,0,17.96,-66.22,PR,00704,STANDARD
13,WESTWOOD,0,40.98,-74.03,NJ,07675,STANDARD
14,"WOODCLIFF LAKE",0,41.02,-74.05,NJ,07677,STANDARD
15,WHARTON,0,40.89,-74.58,NJ,07885,STANDARD
16,WHIPPANY,0,40.82,-74.41,NJ,07981,STANDARD
17,WHIPPANY,0,40.82,-74.41,NJ,07999,STANDARD
18,WHITEHOUSE,0,40.62,-74.76,NJ,08888,"PO BOX"
19,"WHITEHOUSE STATION",0,40.6,-74.76,NJ,08889,STANDARD
20,WOODBRIDGE,0,40.55,-74.28,NJ,07095,STANDARD
21,WYCKOFF,0,40.99,-74.16,NJ,07481,STANDARD
22,BRONX,0,40.84,-73.87,NY,10451,STANDARD
23,BRONX,0,40.84,-73.87,NY,10452,STANDARD
24,BRONX,0,40.84,-73.87,NY,10453,STANDARD
25,BRONX,0,40.84,-73.87,NY,10454,STANDARD
26,BRONX,0,40.84,-73.87,NY,10455,STANDARD
27,BRONX,0,40.84,-73.87,NY,10456,STANDARD
28,BRONX,0,40.84,-73.87,NY,10457,STANDARD
29,BRONX,0,40.84,-73.87,NY,10458,STANDARD
30,BRONX,0,40.84,-73.87,NY,10459,STANDARD
31,BRONX,0,40.84,-73.87,NY,10460,STANDARD
32,BRONX,0,40.84,-73.87,NY,10461,STANDARD
33,BRONX,0,40.84,-73.87,NY,10462,STANDARD
34,BRONX,0,40.84,-73.87,NY,10463,STANDARD
35,BRONX,0,40.84,-73.87,NY,10464,STANDARD
36,BRONX,0,40.84,-73.87,NY,10465,STANDARD
37,BRONX,0,40.84,-73.87,NY,10466,STANDARD
38,BRONX,0,40.84,-73.87,NY,10467,STANDARD
39,BRONX,0,40.84,-73.87,NY,10468,STANDARD
40,BRONX,0,40.84,-73.87,NY,10469,STANDARD
41,BRONX,0,40.84,-73.87,NY,10470,STANDARD
42,BRONX,0,40.84,-73.87,NY,10471,STANDARD
43,BRONX,0,40.84,-73.87,NY,10472,STANDARD
44,BRONX,0,40.84,-73.87,NY,10473,STANDARD
45,BRONX,0,40.84,-73.87,NY,10474,STANDARD
46,BRONX,0,40.84,-73.87,NY,10475,STANDARD
47,BRONX,0,40.84,-73.87,NY,10499,UNIQUE
48,"NEW YORK",0,40.71,-73.99,NY,10001,STANDARD
49,"NEW YORK",0,40.71,-73.99,NY,10002,STANDARD
50,"NEW YORK",0,40.71,-73.99,NY,10003,STANDARD
51,"NEW YORK",0,40.71,-73.99,NY,10004,STANDARD
52,"NEW YORK",0,40.71,-73.99,NY,10005,STANDARD
53,"NEW YORK",0,40.71,-73.99,NY,10006,STANDARD
54,"NEW YORK",0,40.71,-73.99,NY,10007,STANDARD
55,"NEW YORK",0,40.71,-73.99,NY,10008,"PO BOX"
56,"NEW YORK",0,40.71,-73.99,NY,10009,STANDARD
57,"NEW YORK",0,40.71,-73.99,NY,10010,STANDARD
58,"NEW YORK",0,40.71,-73.99,NY,10011,STANDARD
59,"NEW YORK",0,40.71,-73.99,NY,10012,STANDARD
60,"NEW YORK",0,40.71,-73.99,NY,10013,STANDARD
61,"NEW YORK",0,40.71,-73.99,NY,10014,STANDARD
62,"NEW YORK",0,40.71,-73.99,NY,10016,STANDARD
63,"NEW YORK",0,40.71,-73.99,NY,10017,STANDARD
64,"NEW YORK",0,40.71,-73.99,NY,10018,STANDARD
65,"NEW YORK",0,40.71,-73.99,NY,10019,STANDARD
66,"NEW YORK",0,40.71,-73.99,NY,10020,STANDARD
67,"NEW YORK",0,40.77,-73.95,NY,10021,STANDARD
68,"NEW YORK",0,40.71,-73.99,NY,10022,STANDARD
69,"NEW YORK",0,40.71,-73.99,NY,10023,STANDARD
70,"NEW YORK",0,40.71,-73.99,NY,10024,STANDARD
71,"NEW YORK",0,40.71,-73.99,NY,10025,STANDARD
72,"NEW YORK",0,40.71,-73.99,NY,10026,STANDARD
73,"NEW YORK",0,40.71,-73.99,NY,10027,STANDARD
74,"NEW YORK",0,40.71,-73.99,NY,10028,STANDARD
75,"NEW YORK",0,40.71,-73.99,NY,10029,STANDARD
76,"NEW YORK",0,40.71,-73.99,NY,10030,STANDARD
77,"NEW YORK",0,40.71,-73.99,NY,10031,STANDARD
78,"NEW YORK",0,40.71,-73.99,NY,10032,STANDARD
79,"NEW YORK",0,40.71,-73.99,NY,10033,STANDARD
80,"NEW YORK",0,40.71,-73.99,NY,10034,STANDARD
81,ARECIBO,0,18.45,-66.73,PR,00613,"PO BOX"
82,ARECIBO,0,18.45,-66.73,PR,00614,"PO BOX"
83,ARROYO,0,17.97,-66.06,PR,00714,STANDARD
84,BAJADERO,0,18.4,-66.66,PR,00616,STANDARD
85,BARCELONETA,0,18.45,-66.53,PR,00617,STANDARD
86,BARRANQUITAS,0,18.18,-66.3,PR,00794,STANDARD
87,BOQUERON,0,17.99,-67.15,PR,00622,STANDARD
88,"CABO ROJO",0,18.08,-67.14,PR,00623,STANDARD
89,CAMUY,0,18.48,-66.84,PR,00627,STANDARD
90,CANOVANAS,0,18.37,-65.9,PR,00729,STANDARD
91,CAROLINA,0,18.4,-65.98,PR,00979,STANDARD
92,CAROLINA,0,18.4,-65.98,PR,00981,"PO BOX"
93,CAROLINA,0,18.4,-65.98,PR,00982,STANDARD
94,CAROLINA,0,18.4,-65.98,PR,00983,STANDARD
95,CAROLINA,0,18.4,-65.98,PR,00984,"PO BOX"
96,CAROLINA,0,18.4,-65.98,PR,00985,STANDARD
97,CAROLINA,0,18.4,-65.98,PR,00986,"PO BOX"
98,CAROLINA,0,18.4,-65.98,PR,00987,STANDARD
99,CAROLINA,0,18.4,-65.98,PR,00988,"PO BOX"
100,CAYEY,0,18.11,-66.16,PR,00736,STANDARD
101,CIDRA,0,18.17,-66.15,PR,00739,STANDARD
102,COAMO,0,18.08,-66.36,PR,00769,STANDARD
103,COMERIO,0,18.22,-66.22,PR,00782,STANDARD
104,COROZAL,0,18.34,-66.31,PR,00783,STANDARD
105,"NEW YORK",0,40.77,73.95,NY,10200,STANDARD
106,APO,0,-44.25,33.53,AE,09323,MILITARY
107,HATILLO,0,18.48,-66.82,PR,00659,STANDARD
108,HORMIGUEROS,0,18.14,-67.12,PR,00660,STANDARD
109,HUMACAO,0,18.15,-65.81,PR,00791,STANDARD
110,HUMACAO,0,18.15,-65.81,PR,00792,"PO BOX"
111,ISABELA,0,18.5,-67.02,PR,00662,STANDARD
112,JAYUYA,0,18.22,-66.59,PR,00664,STANDARD
113,"JUANA DIAZ",0,18.05,-66.5,PR,00795,STANDARD
114,JUNCOS,0,18.22,-65.91,PR,00777,STANDARD
115,PONCE,0,17.98,-66.6,PR,00728,STANDARD
116,CAGUAS,0,18.23,-66.03,PR,00725,STANDARD
